Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
17,Flight Feathers,110,1555,70.73954984,10,,,
39,Notorious wingz,60,850,70.58823529,11,,,
15,Kris,134,1932,69.35817805,12,,,
19,Xax,106,1577,67.21623335,13,,,
10,Cubsontap,150,2232,67.20430108,14,,,
11,Flappy Wingspan,143,2141,66.79121906,15,,,
68,MeltedPeep,10,150,66.66666667,16,,,
12,Falafel,141,2167,65.06691278,17,,,
48,The Real Meme,52,807,64.4361834,18,,,
3,Sparky,272,4284,63.49206349,19,,,
20,Lola awesome,106,1780,59.5505618,20,,,
60,Zoom Flocker,19,363,52.3415978,21,,,
31,Flip,76,1491,50.97250168,22,,,
47,Aliss,52,1027,50.63291139,23,,,
45,Babe,53,1057,50.14191107,24,,,
41,roohby,54,1096,49.27007299,25,,,
28,Fury Silver,89,1811,49.14411927,26,,,
62,Dash Feathers,18,401,44.88778055,27,,,
69,Birdman,9,202,44.55445545,28,,,
40,CJwoy,58,1480,39.18918919,29,,,
58,niners,25,699,35.76537911,30,,,
43,Wobbly Wings1,53,1628,32.55528256,31,,,
73,Eggy Fierce,4,137,29.19708029,32,,,
59,KELSO,22,859,25.61117579,33,,,
,,,,,,,,
,Played Totals,3403,47779,65.23259127,,,,
,,,,,,,,
,Bic,,882,,,,,
,Chenna,,392,Kick (Inactive),,,,
,Faray11,,56,Pass,,,,
,Snappy,,841,,,,,
,,,,,,,,
,Not Played Totals,4,2171,4.35%,3550.906166,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
,Monty Schnitzel,,28,Hold,,,,
,Nawi,,25,Hold,,,,
,Snouty Wingman,,45,Hold,,,,
,Tweet McOwl,,37,Hold,,,,
,Yup,,34,Hold,,,,
,,,,,,,,
,Holding Pen Totals,13,428,0.85%,,,,
,,,,,,,,
,Not Played + Holding Pen,,2599,#REF!,#REF!,<- Projected Score,,

---

Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
LOST,(Chinese Symbols),Taiwan,3318,3692,-11.27%,42559,43074,-1.21%
,,,,,,,,
Position,Player Name,Score,FP,Ratio,Ratio Pos,,,
58,Aliss,34,1027,33.10613437,,,,
6,Ave Falcon,218,2787,78.22030858,,,,
37,Babe,79,1069,73.90084191,,,,
69,Birdman,13,299,43.47826087,,,,
5,Bossy,224,2588,86.55332303,,,,
32,CJwoy,90,1480,60.81081081,,,,
12,Cubsontap,165,2332,70.75471698,,,,
72,Eggy Fierce,10,204,49.01960784,,,,
7,Eggy Strike,202,2462,82.04711617,,,,
11,Falafel,169,2369,71.33811735,,,,
10,Flappy Wingspan,177,2191,80.78502967,,,,
28,Flip,105,1609,65.25792418,,,,
19,Fury Silver,139,1836,75.708061,,,,
20,Jake,120,1652,72.63922518,,,,
25,Jim Me,112,2121,52.80528053,,,,
18,Kris,141,2032,69.38976378,,,,
33,Lily,87,1120,77.67857143,,,,
24,Lola awesome,115,1780,64.60674157,,,,
71,MeltedPeep,10,154,64.93506494,,,,
49,Mi Hung Lo,56,842,66.50831354,,,,
17,Mindy,142,2107,67.39439962,,,,
65,niners,23,708,32.48587571,,,,
44,Notorious wingz,67,908,73.78854626,,,,
21,Pomelo,118,1253,94.17398244,,,,
42,roohby,72,1096,65.69343066,,,,
53,Snappy,50,841,59.4530321,,,,
1,Sparky,331,4164,79.49087416,,,,
50,The Real Meme,55,819,67.15506716,,,,
35,Wobbly Wings1,83,1836,45.20697168,,,,
27,Xax,111,1678,66.15017878,,,,
,,,,,,,,
,Played Totals,3318,47364,66.35118574,,,,
,,,,,,,,
,Bic,,882,Kick,,,,
,Dash Feathers,,401,,,,,
,Faray11,,56,Kick,,,,
,Flight Feathers,,1907,,,,,
,KELSO,,999,,,,,
,Phoenix,,171,Kick (First),,,,
,Zoom Flocker,,380,,,,,
,,,,,,,,
,Not Played Totals,7,4796,9.19%,3623.082975,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
